"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
1,581564375E0;9,069629759E-2;-4,337387979E-1;-2,285640091E-1;4,985946946E-1
1,591630375E0;1,506138444E-1;-4,948640466E-1;-2,452338636E-1;5,724636255E-1
1,601697375E0;1,748986840E-1;-4,358478487E-1;-2,394425422E-1;5,271485823E-1
1,611764375E0;1,975316107E-1;-2,653339505E-1;-2,563144267E-1;4,184709403E-1
1,621831375E0;2,257392704E-1;-1,660427898E-1;-2,788775265E-1;3,953493405E-1
1,631898375E0;2,637735903E-1;-8,581285924E-2;-2,829462886E-1;3,962309377E-1
1,641965375E0;2,857891619E-1;6,810107082E-2;-2,839705348E-1;4,085981713E-1
1,652031375E0;2,874625921E-1;2,484528571E-1;-2,728919387E-1;4,677965095E-1
1,662098375E0;2,746772766E-1;3,778971136E-1;-2,517485619E-1;5,306893377E-1
1,672165375E0;2,846553624E-1;4,222710133E-1;-2,121471763E-1;5,516773589E-1
1,682232375E0;3,286678195E-1;4,049144089E-1;-1,709824204E-1;5,488289371E-1
1,692299375E0;3,910757601E-1;3,543484509E-1;-1,198413521E-1;5,411700514E-1
1,702366375E0;4,305430055E-1;3,056698740E-1;-8,133071661E-2;5,342434247E-1
1,712432375E0;4,216245115E-1;2,461928129E-1;-6,121085957E-2;4,920618855E-1
1,722499375E0;3,467382789E-1;2,031784952E-1;-5,470129475E-2;4,055874339E-1
1,732566375E0;2,220693380E-1;2,059355676E-1;-4,682753235E-2;3,064589151E-1
1,742633375E0;4,940435663E-2;1,712015569E-1;-7,838857360E-3;1,783597803E-1
1,752700375E0;-1,223304868E-1;1,626273692E-1;7,702723891E-2;2,175904518E-1
1,762767375E0;-2,536637485E-1;1,763053685E-1;1,034828201E-1;3,257876215E-1
1,772834375E0;-3,511868715E-1;1,803169847E-1;4,267686605E-2;3,970739838E-1
1,782900000E0;-3,896498382E-1;2,072964013E-1;2,325715963E-3;4,413662916E-1
1,792967000E0;-3,890456855E-1;2,018793821E-1;4,032274336E-2;4,401565108E-1
1,803034000E0;-3,611916900E-1;1,908839792E-1;1,205241084E-1;4,259368394E-1
1,813101000E0;-3,284756541E-1;1,502967477E-1;1,856844127E-1;4,061576896E-1
1,823168000E0;-2,992653251E-1;7,698044181E-2;2,121351957E-1;3,748160408E-1
1,833235000E0;-2,371777892E-1;-1,458751690E-2;1,987893432E-1;3,098117208E-1
1,843301000E0;-1,386991590E-1;-1,028875560E-1;1,597351581E-1;2,352416345E-1
1,853368000E0;-2,794558369E-2;-2,163569927E-1;1,270378679E-1;2,524478636E-1
1,863435000E0;5,484436825E-2;-3,241668046E-1;1,356526613E-1;3,556594810E-1
1,873502000E0;7,000722736E-2;-3,683933020E-1;1,296228617E-1;3,967577638E-1
1,883569000E0;-6,159977987E-3;-3,212487102E-1;7,955808938E-2;3,310108287E-1
1,893636000E0;-1,351994127E-1;-2,193087637E-1;8,002730086E-3;2,577581400E-1
1,903702000E0;-3,023348749E-1;-1,410757452E-1;-5,256580934E-2;3,377453283E-1
1,913769000E0;-4,592869878E-1;-1,204577014E-1;-7,240825146E-2;4,803098478E-1
1,923836000E0;-5,608141422E-1;-1,652512699E-1;-6,021123379E-2;5,877464394E-1
1,933903000E0;-6,055117846E-1;-2,378759980E-1;-6,226206571E-2;6,535335313E-1
1,943970000E0;-5,967398882E-1;-3,185705841E-1;-6,393133104E-2;6,794651766E-1
1,954037000E0;-5,388477445E-1;-3,666284978E-1;-5,772749707E-2;6,542979528E-1
1,964104000E0;-4,784989357E-1;-2,809186578E-1;-1,102080122E-1;5,657051615E-1
1,974170000E0;-4,206341803E-1;-6,764055043E-2;-1,990032494E-1;4,702240434E-1
1,984237000E0;-3,483139277E-1;1,558450013E-1;-2,279888242E-1;4,445100231E-1
1,994304000E0;-2,644555271E-1;3,154850304E-1;-1,637008041E-1;4,430186040E-1
2,004371000E0;-1,580350697E-1;3,502970636E-1;-2,488806844E-2;3,851006777E-1
2,014438000E0;-4,815254360E-2;3,248292804E-1;1,039881036E-1;3,444506562E-1
2,024505000E0;3,422435373E-2;2,929871976E-1;1,473768502E-1;3,297464789E-1
2,034571000E0;1,181079596E-1;1,800996512E-1;1,430320144E-1;2,585411604E-1
2,044638000E0;2,179445326E-1;1,193167083E-2;1,312089115E-1;2,546722650E-1
2,054705000E0;3,026807606E-1;-1,490031928E-1;9,118352085E-2;3,494739315E-1
2,064772000E0;3,420521319E-1;-2,534584999E-1;1,501871180E-2;4,259887719E-1
2,074839000E0;3,362931907E-1;-1,816148013E-1;-1,252571195E-1;4,022019296E-1
2,084906000E0;3,071203828E-1;-4,440766573E-2;-2,538864613E-1;4,009405261E-1
2,094973000E0;2,770636082E-1;7,606126368E-2;-2,177737802E-1;3,605204268E-1
2,105039000E0;2,139981240E-1;1,796989739E-1;-9,302652627E-2;2,945180010E-1
2,115106000E0;1,269599646E-1;2,115293145E-1;-8,060468361E-3;2,468368989E-1
2,125173000E0;3,135887533E-2;2,237274051E-1;6,499299780E-3;2,260079019E-1
2,135240000E0;-5,251140893E-2;2,154563069E-1;-6,366373505E-3;2,218544545E-1
2,145307000E0;-1,217962131E-1;1,277354956E-1;-4,544504918E-3;1,765540339E-1
2,155374000E0;-1,714320928E-1;-5,858210474E-2;-1,331336703E-2;1,816537123E-1
2,165441000E0;-2,231112719E-1;-2,649571002E-1;-4,404731467E-2;3,491719784E-1
2,175507000E0;-2,912462652E-1;-4,350397289E-1;-9,250416607E-2;5,316398907E-1
2,185574000E0;-3,775763512E-1;-5,155915618E-1;-1,492987424E-1;6,562687514E-1
2,195641000E0;-4,709482193E-1;-4,520383477E-1;-1,535883993E-1;6,706118769E-1
2,205708000E0;-5,684843063E-1;-2,350871414E-1;-1,274500191E-1;6,282387110E-1
2,215775000E0;-6,432482004E-1;3,718157113E-2;-1,268996447E-1;6,566995024E-1
2,225842000E0;-6,774847507E-1;2,691617906E-1;-1,662187092E-2;7,291844373E-1
2,235908000E0;-6,836699843E-1;3,991436064E-1;1,513519436E-1;8,059948368E-1
2,245975000E0;-6,596024632E-1;4,382885993E-1;2,753207684E-1;8,384353471E-1
2,256042000E0;-6,066294312E-1;3,733491600E-1;3,033055663E-1;7,741983781E-1
2,266109000E0;-5,266448855E-1;2,310191840E-1;2,637017071E-1;6,326636462E-1
2,276176000E0;-4,106453359E-1;8,390221000E-2;2,163831592E-1;4,716893515E-1
2,286243000E0;-2,973406017E-1;2,671002038E-2;1,633678675E-1;3,403144410E-1
2,296310000E0;-2,575406134E-1;7,774996012E-2;9,351687878E-2;2,848115701E-1
2,306376000E0;-3,410131335E-1;1,860540658E-1;1,026805583E-2;3,886019887E-1
2,316443000E0;-5,489998460E-1;3,476050794E-1;-1,105986014E-1;6,591374460E-1
2,326510000E0;-8,251549602E-1;4,252985418E-1;-1,987364590E-1;9,493448994E-1
2,336577000E0;-1,109912395E0;3,804065883E-1;-1,942189336E-1;1,189258463E0
2,346644000E0;-1,346689224E0;2,578774989E-1;-1,164889783E-1;1,376096782E0
2,356711000E0;-1,494216323E0;1,001968160E-1;-2,278331295E-2;1,497745272E0
2,366778000E0;-1,569910049E0;-1,455612946E-2;5,471707135E-2;1,570930744E0
2,376844000E0;-1,578410029E0;-1,016322076E-1;1,356260777E-1;1,587482838E0
2,386911000E0;-1,539887428E0;-1,473336518E-1;2,192685157E-1;1,562382533E0
2,396978000E0;-1,477943420E0;-1,805495620E-1;2,911091447E-1;1,517122089E0
2,407045000E0;-1,405275941E0;-2,066847682E-1;3,457145989E-1;1,461861022E0
2,417112000E0;-1,350782990E0;-2,607593238E-1;3,522702754E-1;1,420107200E0
2,427179000E0;-1,351253748E0;-3,767293394E-1;2,980784178E-1;1,434106840E0
2,437245000E0;-1,419188738E0;-5,636796355E-1;1,936705261E-1;1,539265954E0
2,447312000E0;-1,483498931E0;-5,839857459E-1;9,345692582E-3;1,594332391E0
2,457379000E0;-1,474738836E0;-3,223195970E-1;-2,019306421E-1;1,522997223E0
2,467446000E0;-1,439121962E0;-5,928288773E-2;-2,861571014E-1;1,468493230E0
2,477513000E0;-1,381920934E0;1,028173268E-1;-2,261888087E-1;1,404079146E0
2,487580000E0;-1,331185818E0;1,333145201E-1;-6,394930929E-2;1,339372225E0
2,497647000E0;-1,326379776E0;2,173756436E-2;9,233427793E-2;1,329767442E0
2,507713000E0;-1,380773783E0;-1,171617284E-1;1,797325760E-1;1,397342803E0
2,517780000E0;-1,435589314E0;-2,506470084E-1;2,315771431E-1;1,475590923E0
2,527847000E0;-1,463421226E0;-3,683052063E-1;2,640160322E-1;1,531977439E0
2,537914000E0;-1,458086848E0;-4,909751415E-1;2,405087799E-1;1,557214924E0
2,547981000E0;-1,431196094E0;-6,793583632E-1;1,374239326E-1;1,590199793E0
2,558048000E0;-1,367054939E0;-8,318037987E-1;-4,839893058E-2;1,600961968E0
2,568115000E0;-1,262568235E0;-8,529815078E-1;-2,855084240E-1;1,550216456E0
2,578181000E0;-1,123343110E0;-7,354321480E-1;-5,192539692E-1;1,439578019E0
2,588248000E0;-9,600729346E-1;-5,159911513E-1;-6,609136462E-1;1,274673980E0
2,598315000E0;-7,898216844E-1;-2,514480650E-1;-6,814383864E-1;1,073034341E0
2,608382000E0;-6,271795034E-1;-3,778691590E-2;-5,998535156E-1;8,686807358E-1
2,618449000E0;-4,739090502E-1;3,648181632E-2;-4,561693370E-1;6,587952450E-1
2,628516000E0;-3,143832982E-1;1,133084223E-1;-2,854585648E-1;4,395022741E-1
2,638582000E0;-1,428302079E-1;1,932725012E-1;-1,493321508E-1;2,829396036E-1
2,648649000E0;4,970542714E-2;2,457010895E-1;-6,391259283E-2;2,586976505E-1
2,658716000E0;2,424452007E-1;2,218957245E-1;-5,403615162E-2;3,330725050E-1
2,668783000E0;4,146025777E-1;1,383917779E-1;-1,127870828E-1;4,514072525E-1
2,678850000E0;5,622441173E-1;1,082782075E-2;-1,763069928E-1;5,893384807E-1
2,688917000E0;6,702100039E-1;-1,370633692E-1;-1,992972642E-1;7,125217302E-1
2,698983000E0;7,075577378E-1;-2,546252012E-1;-1,870125830E-1;7,748842828E-1
2,709050000E0;6,642554998E-1;-3,019021749E-1;-1,615865827E-1;7,473222304E-1
2,719117000E0;5,404140949E-1;-2,683249116E-1;-1,595118791E-1;6,240910925E-1
2,729184000E0;3,780630231E-1;-2,069806159E-1;-1,924306750E-1;4,720192681E-1
2,739251000E0;2,323540896E-1;-1,116967946E-1;-2,433894575E-1;3,545462239E-1
2,749318000E0;1,554406732E-1;-3,584650159E-2;-3,007781804E-1;3,404618750E-1
2,759385000E0;1,850958914E-1;-6,552433968E-2;-3,415124118E-1;3,939348366E-1
2,769451000E0;3,047628999E-1;-1,857394278E-1;-3,263497055E-1;4,836152297E-1
2,779518000E0;4,588544667E-1;-3,018860221E-1;-2,457947582E-1;6,017455069E-1
2,789584875E0;5,870507956E-1;-3,711447418E-1;-1,472506076E-1;7,099716877E-1
2,799651875E0;6,733400226E-1;-3,697778881E-1;-7,794589549E-2;7,721386113E-1
2,809718875E0;6,992635131E-1;-3,412389159E-1;-5,458145589E-2;7,799952524E-1
2,819785875E0;6,809173822E-1;-3,237931430E-1;-8,387091756E-2;7,586335161E-1
2,829851875E0;6,114674807E-1;-3,169421554E-1;-1,583664566E-1;7,066998969E-1
2,839918875E0;5,168911815E-1;2,387657948E-2;-2,228548974E-1;5,633923054E-1
2,849985875E0;4,512850344E-1;3,052438200E-1;-2,973048687E-1;6,206626756E-1
2,860052875E0;4,025059640E-1;3,084343374E-1;-3,322392702E-1;6,062389993E-1
2,870119875E0;3,770240545E-1;1,536516845E-1;-3,212377727E-1;5,186035909E-1
2,880186875E0;4,306541681E-1;-7,750154287E-2;-2,982315123E-1;5,295389850E-1
2,890252875E0;5,545173287E-1;-2,860632837E-1;-2,907773256E-1;6,883844298E-1
2,900319875E0;6,956581473E-1;-3,351456523E-1;-2,912534475E-1;8,252826406E-1
2,910386875E0;8,488703370E-1;-1,794937551E-1;-2,658506036E-1;9,074554538E-1
2,920453875E0;9,779814482E-1;6,618312746E-2;-2,272102684E-1;1,006206950E0
2,930520875E0;1,052247882E0;2,705349326E-1;-1,824672967E-1;1,101684650E0
2,940587875E0;1,086704731E0;3,539902270E-1;-1,430355906E-1;1,151822657E0
2,950653875E0;1,081005096E0;3,266861737E-1;-1,186418310E-1;1,135505068E0
2,960720875E0;1,057995558E0;2,578824162E-1;-9,901562333E-2;1,093463321E0
2,970787875E0;1,019261122E0;2,234296203E-1;-6,362514198E-2;1,045400492E0
2,980854875E0;9,595662951E-1;2,113932818E-1;-3,606194630E-2;9,832370306E-1
2,990921875E0;9,179842472E-1;1,451631337E-1;-3,878396377E-2;9,301997685E-1
3,000988875E0;9,370197654E-1;5,164172128E-2;-6,011856347E-2;9,403654342E-1
3,011054875E0;9,899399877E-1;-2,574760839E-2;-7,106788456E-2;9,928216168E-1
3,021121875E0;1,059743881E0;-8,630382270E-2;-1,016265750E-1;1,068098031E0
3,031188875E0;1,133131027E0;-1,121420786E-1;-1,494268477E-1;1,148429429E0
3,041255875E0;1,195551991E0;-1,044835597E-1;-1,968397498E-1;1,216144426E0
3,051322875E0;1,235719204E0;-7,631663978E-2;-2,367085963E-1;1,260498766E0
